word,part_of_speech,definition,example,synonyms
abjure,v,"formally reject or disavow a formerly held belief, usually under pressure",She abjured her beliefs; He retracted his earlier statements about his religion,"forswear, recant, resile, retract"
abrogate,v,revoke formally,,
abstruse,s,difficult to penetrate; incomprehensible to one of ordinary understanding or knowledge,the professor's lectures were so abstruse that students tended to avoid them; some recondite problem in historiography; a deep metaphysical theory,"deep, recondite"
acapus,,,,
acidulous,s,being sour to the taste,,"acid, acidic, acidulent"
acquisitive,a,eager to acquire and possess things especially material possessions or ideas,an acquisitive society in which the craving for material things seems never satisfied; an acquisitive mind,
acrid,s,strong and sharp; harsh or corrosive in tone,"her acrid remarks make her many enemies; bitter words; an acerbic tone piercing otherwise flowery prose; blistering criticism; a vitriolic critique; a barrage of acid comments; a sulfurous denunciation; the pungent taste of radishes; the acrid smell of burning rubber; caustic jokes about political assassination, talk-show hosts and medical ethics","acerb, acerbic, acid, bitter, blistering, caustic, pungent, sulfurous, sulphurous, virulent, vitriolic"
adamant,"n, s","impervious to pleas, persuasion, requests, reason; ; - W.Churchill; very hard native crystalline carbon valued as a gem",he is adamant in his refusal to change his mind; an intransigent conservative opposed to every liberal tendency; Cynthia was inexorable; she would have none of him,"adamantine, diamond, inexorable, intransigent"
adjudicate,v,put on trial or hear a case and sit as the judge at the trial of; bring to an end; settle conclusively,The case was decided; The judge tried both father and son in separate trials; The judge decided the case in favor of the plaintiff; The football star was tried for the murder of his wife; The father adjudicated when the sons were quarreling over their inheritance,"decide, judge, resolve, settle, try"
adulation,n,servile flattery; exaggerated and hypocritical praise,,
adulterate,"s, v","corrupt, debase, or make impure by adding a foreign or inferior substance; often by replacing valuable ingredients with inferior ones; mixed with impurities",adulterate liquor,"adulterated, debase, debased, dilute, load, stretch"
aegis,n,armor plate that protects the chest; the front part of a cuirass; kindly endorsement and guidance,the tournament was held under the auspices of the city council,"auspices, breastplate, egis, protection"
affable,s,diffusing warmth and friendliness,a cordial greeting; an affable smile; an amiable gathering; a genial host; cordial relations,"amiable, cordial, genial"
afford,v,afford access to; be able to spare or give up; be the cause or source of; have the financial means to do something or buy something,I can't afford to spend two hours with this person; The French doors give onto a terrace; Our meeting afforded much interesting information; We can't afford to send our children to college; Can you afford this car?; He gave me a lot of trouble; the door opens to the patio,"give, open, yield"
agog,s,highly excited,,
ambiguous,"s, a",open to two or more interpretations; or of uncertain nature or significance; or (often) intended to mislead; having no intrinsic or objective meaning; not organized in conventional patterns; having more than one possible meaning,"an ambiguous situation with no frame of reference; an equivocal statement; ambiguous words; frustrated by ambiguous instructions, the parents were unable to assemble the toy; popularity is an equivocal crown; the officer's equivocal behavior increased the victim's uneasiness; the polling had a complex and equivocal (or ambiguous) message for potential female candidates; an equivocal response to an embarrassing question; ambiguous inkblots",equivocal
ambivalent,s,uncertain or unable to decide about what course to follow,was ambivalent about having children,
amiable,s,disposed to please; - Hal Hinson; diffusing warmth and friendliness,a cordial greeting; an affable smile; an amiable gathering; a genial host; an amiable villain with a cocky sidelong grin; cordial relations,"affable, cordial, genial, good-humored, good-humoured"
amorphous,s,having no definite form or distinct shape; lacking the system or structure characteristic of living bodies; without real or apparent crystalline form,an aggregate of formless particles; amorphous clouds of insects; a shapeless mass of protoplasm; amorphous structure; an amorphous mineral,"formless, shapeless, uncrystallised, uncrystallized, unstructured"
anachronism,n,something located at a time when it could not have existed or occurred; a person who seems to be displaced in time; who belongs to another age; an artifact that belongs to another time,,"misdating, mistiming"
analogous,"s, a",similar or equivalent in some respects though otherwise dissimilar; corresponding in function but not in evolutionary origin,the wings of a bee and those of a hummingbird are analogous; brains and computers are often considered analogous; salmon roe is marketed as analogous to caviar,correspondent
anathema,n,a detested person; a formal ecclesiastical curse accompanied by excommunication,he is an anathema to me,bete noire
ancillary,s,furnishing added support,The mind and emotions are auxiliary to each other; an adjuvant discipline to forms of mysticism; an ancillary pump,"accessory, adjunct, adjuvant, appurtenant, auxiliary"
anemic,"s, a",relating to anemia or suffering from anemia; lacking vigor or energy,an anemic attempt to hit the baseball,anaemic
anile,s,of or like a feeble old woman,,
anodyne,"n, s",a medicine used to relieve pain; capable of relieving pain,the anodyne properties of certain drugs; an analgesic effect,"analgesic, analgetic, pain pill, painkiller"
antedated,v,be earlier in time; go back further; establish something as being earlier relative to something else,Stone tools precede bronze tools,"antecede, antedate, foredate, forego, forgo, precede, predate"
antic,"n, s, v",a ludicrous or grotesque act done for fun and amusement; ludicrously odd; act as or like a clown,Hamlet's assumed antic disposition; a grotesque reflection in the mirror; fantastic Halloween costumes,"caper, clown, clown around, fantastic, fantastical, grotesque, joke, prank, put-on, trick"
antipode,n,direct opposite,quiet: an antipode to focused busyness,
